	Compound_Name	SpectrumID
1987	Ambiguine_E_isonitrile	CCMSLIB00000424893
1988	Ambiguine_E_isonitrile	CCMSLIB00000424894
1990	Ambiguine_B_isonitrile	CCMSLIB00000424896
1991	Ambiguine_B_isonitrile	CCMSLIB00000424897
1992	Ambiguine_B_isonitrile	CCMSLIB00000424898
1996	Ambiguine D isonitrile	CCMSLIB00000424902
1997	Ambiguine D isonitrile	CCMSLIB00000424903
1998	Ambiguine D isonitrile	CCMSLIB00000424904
1999	Ambiguine I isonitrile	CCMSLIB00000424905
2000	Ambiguine I isonitrile	CCMSLIB00000424906
2001	Ambiguine I isonitrile	CCMSLIB00000424907
2006	12-epi-hapalindole C isonitrile	CCMSLIB00000424912
2019	andrimid	CCMSLIB00000424925
2143	Microsclerodermin D	CCMSLIB00000427297
2145	Microsclerodermin M	CCMSLIB00000427299
2146	Myxalamid B	CCMSLIB00000427300
2149	Pellasoren A	CCMSLIB00000427303
2152	Thuggacin A	CCMSLIB00000427306
2178	Himeic acid A_120102	CCMSLIB00000478060
2179	Himeic acid A_120102	CCMSLIB00000478061
2186	Okaramine B_120148	CCMSLIB00000478068
2187	Okaramine D_120149	CCMSLIB00000478069
2198	Pseurotin A_120184	CCMSLIB00000478080
2203	"""a,b-Dehydrocurvularin_120247"""	CCMSLIB00000478085
2204	"""a,b-Dehydrocurvularin_120247"""	CCMSLIB00000478086
2205	Citrinin_120248	CCMSLIB00000478087
2206	Apicidin _120249	CCMSLIB00000478088
2212	Asperphenamate_120258	CCMSLIB00000478094
2213	Asperhenamate_120258	CCMSLIB00000478095
2237	Communesin A (identified trough in silico generated spectrum)	CCMSLIB00000478120
2240	Amphotericin B	CCMSLIB00000478123
2249	Alternariol_120108	CCMSLIB00000478422
2278	Penitrem A_120257	CCMSLIB00000478451
2282	Aculeacin A_130020	CCMSLIB00000478455
2288	Shearinine D_130028	CCMSLIB00000478461
2289	_130029	CCMSLIB00000478462
2290	_130029	CCMSLIB00000478463
2293	_130033	CCMSLIB00000478466
2294	_130033	CCMSLIB00000478467
2347	Mycophenolic acid_130117	CCMSLIB00000478521
2350	Asperphenamate_130119	CCMSLIB00000478524
2415	Rifamycin S	CCMSLIB00000478607
2435	Putative Xantholysin A	CCMSLIB00000478630
2436	Putative Xantholysin C	CCMSLIB00000478631
2437	Putative Xantholysin B	CCMSLIB00000478632
2456	Psymberin	CCMSLIB00000478652
2463	Actinomycin D-CDM-WM-IM	CCMSLIB00000479204
2471	Bafilomycin A1-CDM-IM	CCMSLIB00000479759
2493	Tunicamycin IX-CDM-BAW	CCMSLIB00000479781
2495	Tunicamycin IV (B2) or V (A or B1)-CDM-BAW	CCMSLIB00000479783
2497	Tunicamycin VII or VIII (C2)-CDM-BAW	CCMSLIB00000479785
2505	Cyclosporin A	CCMSLIB00000531481
2507	Valinomycin	CCMSLIB00000531483
2515	Desferrioxamine B	CCMSLIB00000531491
2517	Desferrioxamine B + Al (M-2H+Al)	CCMSLIB00000531493
2528	Koranimine	CCMSLIB00000531504
2617	beta-carotene	CCMSLIB00000574965
2664	Antimycin A1	CCMSLIB00000578442
2669	Etamycin	CCMSLIB00000579202
2726	Surugamide A	CCMSLIB00000579270
2727	Surugamide A	CCMSLIB00000579271
2728	FR900359	CCMSLIB00000579272
2739	Albicidin (LTQ-Orbitrap)	CCMSLIB00000579285
2762	Monensin - CASMI2016 Category 1 - Challenge 19	CCMSLIB00000579308
2766	Xanthomonic Acid	CCMSLIB00000579928
2767	Xanthomonic Acid	CCMSLIB00000579929
2771	Viscosin	CCMSLIB00000579934
2781	Rakicidin D	CCMSLIB00000839185
2782	Rakicidin B	CCMSLIB00000839186
2783	Rakicidin A	CCMSLIB00000839187
2784	BE-43547A	CCMSLIB00000839188
2785	BE-43547B	CCMSLIB00000839189
2786	BE-43547C	CCMSLIB00000839190
2790	lovastatin	CCMSLIB00000839194
2791	Pyocyanin	CCMSLIB00000839195
2799	Dereplicator Identification - E'Surugamide_D'	CCMSLIB00000839203
2802	Dereplicator Identification - E'Surugamide_A'	CCMSLIB00000839206
2847	Lomaiviticin E	CCMSLIB00000839294
2880	Nonactin	CCMSLIB00000839970
2941	Rifamycin W	CCMSLIB00000840398
3012	Nematophin	CCMSLIB00000840592
3013	Nevaltophin_D	CCMSLIB00000840594
3032	Desferrioxamine B	CCMSLIB00001059065
3034	Desferrioxamine E	CCMSLIB00001059067
3040	Ornibactin C8	CCMSLIB00001059073
3187	Actinomycin	CCMSLIB00002239884
3201	zearalenone	CCMSLIB00003061047
3202	zearalenone	CCMSLIB00003061219
3208	aflatoxin G1	CCMSLIB00003061496
3210	zearalenone	CCMSLIB00003061498
3212	Theonellamide A	CCMSLIB00003134477
3213	Theonellamide B	CCMSLIB00003134478
3214	Deoxytheonellamide B	CCMSLIB00003134479
3215	Dideoxytheonellamide B	CCMSLIB00003134480
3216	Theonellamide H	CCMSLIB00003134481
3222	Lugdunomycin	CCMSLIB00003142409
3227	Tobramycin [2M+H]	CCMSLIB00003142414
3243	Beauvericin [+NH4+]	CCMSLIB00003142432
3270	Calcimycin	CCMSLIB00003739947
3271	Erythromycin	CCMSLIB00003739948
3280	Coelichelin	CCMSLIB00003739957
3283	Tunicamycin D	CCMSLIB00003739960
3286	Tunicamycin VI	CCMSLIB00003739963
3290	Tunicamycin I	CCMSLIB00003739967
3295	Desferrioxamine E	CCMSLIB00003739972
3302	Desferrioxamine B	CCMSLIB00003739979
3320	Bacillibactin	CCMSLIB00003739997
3363	aflatoxin G1	CCMSLIB00003741080
3580	Bactobolin B	CCMSLIB00004679189
3592	Plipastatin	CCMSLIB00004679204
3593	Plipastatin	CCMSLIB00004679205
3648	Burkholdac B	CCMSLIB00004679265
3650	Capistruin A	CCMSLIB00004679267
3661	Emodin	CCMSLIB00004679278
3680	Putative orfamide A	CCMSLIB00004679298
3681	Putative orfamide B	CCMSLIB00004679299
3682	Putative orfamide C	CCMSLIB00004679300
3734	Orfamide A	CCMSLIB00004679389
3751	Biotin	CCMSLIB00004680094
3813	Propionyl-Albicidin	CCMSLIB00004681475
3819	Beta-Methoxy-Albicidin	CCMSLIB00004681481
3820	Pyocyanin	CCMSLIB00004681482
3822	Deoxynivalenol	CCMSLIB00004681484
3824	Carbamoyl-Beta-Methoxy-Albicidin	CCMSLIB00004681486
3825	Carbamoyl-Beta-Methoxy-Asn-Albicidin	CCMSLIB00004681487
3826	T-2 Toxin	CCMSLIB00004681488
3827	Fumonisin B1	CCMSLIB00004681489
4112	Sibiromycin hemiaminal	CCMSLIB00004721935
4115	Lincomycin A	CCMSLIB00004721938
4116	Porothramycin hemiaminal	CCMSLIB00004721939
4130	Violacein; 3-(1,2-dihydro-5-(5-hydroxy-1H-indole-3-yl)-2-oxo-3H-pyrrol-3-ylidene)-1,3-dihydro-2H-indole-2-one	CCMSLIB00004721991
4131	Violacein; 3-(1,2-dihydro-5-(5-hydroxy-1H-indole-3-yl)-2-oxo-3H-pyrrol-3-ylidene)-1,3-dihydro-2H-indole-2-one	CCMSLIB00004721992
4204	huperzine A	CCMSLIB00004746755
4351	Clavulanic Acid - Dark Web Drugs	CCMSLIB00005434466
4400	Lovatatin 	CCMSLIB00005435663
4401	Lovastatin	CCMSLIB00005435664
4403	Lovastatin related molecule observed in standard	CCMSLIB00005435666
4429	Lovastatin related ion M+H ; Mevinolin annotated in standard	CCMSLIB00005435692
4442	Leucinostatin A reference standard	CCMSLIB00005435705
4443	Leucinostatin B M+H reference compound	CCMSLIB00005435706
4456	Leucinostatin A M+H	CCMSLIB00005435719
4457	Leucinostatin B M+H	CCMSLIB00005435720
4474	Lovastatin M+H; Mevinolin annotated in standard	CCMSLIB00005435737
4475	Lovastatin M+NH4; Mevinolin	CCMSLIB00005435738
4476	Lovastatin M+Na; Mevinolin	CCMSLIB00005435739
4487	Yersiniabactin	CCMSLIB00005435750
4489	Enterobactin	CCMSLIB00005435752
4493	Yersiniabactin	CCMSLIB00005435756
4497	Citreoviridin	CCMSLIB00005435760
4498	Citreoviridin putative annotated in Paecelomyces	CCMSLIB00005435761
4499	Valactamide A putative 	CCMSLIB00005435762
4553	Nystatin	CCMSLIB00005435898
4579	Desferrioxamine B + Al (M-2H+Al)	CCMSLIB00005435926
4580	Deferoxamine	CCMSLIB00005435927
4581	Clavulanic acid	CCMSLIB00005435928
4582	Clavulanic acid	CCMSLIB00005435929
4583	Cephamycin C	CCMSLIB00005435930
4586	Ectoine	CCMSLIB00005435933
4587	Holomycin	CCMSLIB00005435934
4588	Thiolutin	CCMSLIB00005435935
4589	Pentostatin	CCMSLIB00005435936
4590	Tunicamycin B	CCMSLIB00005435937
4599	Naringenin	CCMSLIB00005435947
4602	Lyngbyatoxin A putative or close isomer M+H	CCMSLIB00005435950
4603	Lyngbyatoxin A M+H-CO putative or close isomer	CCMSLIB00005435951
4630	Roquefortine C	CCMSLIB00005436021
4642	Swinholide A	CCMSLIB00005436034
4645	Pyocyanin	CCMSLIB00005436037
4977	detoxin N1	CCMSLIB00005463534
5527	Streptophenazine A	CCMSLIB00005716774
5528	Streptophenazine Q	CCMSLIB00005716775
5529	Streptophenazine R	CCMSLIB00005716776
5530	Streptophenazine B	CCMSLIB00005716777
5661	FR900359	CCMSLIB00005720204
5662	FR900359	CCMSLIB00005720205
5704	8-prenylnaringenin (MSe)	CCMSLIB00005720247
6178	Yersiniabactin_Fe-adduct	CCMSLIB00005723620
6263	Yersiniabactin-Cu	CCMSLIB00005723706
6566	Cryptomaldamide	CCMSLIB00005724017
6583	Desferrioxamine E_2H+	CCMSLIB00005724034
6660	Ectoine	CCMSLIB00005724308
6666	Desferrioxamine E	CCMSLIB00005724314
6704	Anabaenopeptin 788	CCMSLIB00005724355
6705	Anabaenopeptin 802	CCMSLIB00005724356
6706	Anabaenopeptin 816	CCMSLIB00005724357
8194	NCGC00160275-01!RESISTOMYCIN	CCMSLIB00000078771
8196	NCGC00160239-01!THEBAINE	CCMSLIB00000078773
9149	Mycophenolic acid 	CCMSLIB00000005125
9150	Mycophenolic acid	CCMSLIB00000005126
9151	Mycophenolic acid	CCMSLIB00000005127
10648	Rapamycin (Sirolimus)	CCMSLIB00000078008
10756	Daptomycin	CCMSLIB00000078118
10807	"""Aztreonam (Azactam, Cayston)"""	CCMSLIB00000078169
10808	"""Aztreonam (Azactam, Cayston)"""	CCMSLIB00000078170
10814	Cyclosporine (Neoral)	CCMSLIB00000078176
10815	Cyclosporine (Neoral)	CCMSLIB00000078177
10816	Natamycin (Pimaricin)	CCMSLIB00000078178
10855	Erythromycin (E-Mycin)	CCMSLIB00000078217
10856	Erythromycin (E-Mycin)	CCMSLIB00000078218
10857	Amphotericin B (Abelcet)	CCMSLIB00000078219
11050	Lovastatin (Mevacor)	CCMSLIB00000078412
11051	Lovastatin (Mevacor)	CCMSLIB00000078413
11125	Mycophenolic (Mycophenolate)	CCMSLIB00000078487
11219	Biotin (Vitamin B7)	CCMSLIB00000078581
11298	DOXORUBICIN HYDROCHLORIDE	CCMSLIB00000078907
11352	EPIRUBICIN HYDROCHLORIDE	CCMSLIB00000078961
11375	TACROLIMUS	CCMSLIB00000078984
11616	"""(5R,9R,Z)-5-amino-11-ethylidene-7-methyl-5,6,9,10-tetrahydro-5,9-methanocycloocta[b]pyridin-2-ol"""	CCMSLIB00000079225
11654	Physostigmine	CCMSLIB00000079263
11800	"Lincomycin aka ""(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3S,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide"""	CCMSLIB00000077092
11993	"""MLS000876814-01!13,15-dihydroxy-5-methyl-4-oxabicyclo[10.4.0]hexadeca-1(16),9,12,14-tetraene-3,11-dione"""	CCMSLIB00000079481
12007	MLS000686793-01!	CCMSLIB00000079495
12015	MLS001055372-01!	CCMSLIB00000079503
12018	MLS001074921-01!	CCMSLIB00000079506
12047	"""MLS000876995-01!methyl (2R,4aR,4bS,10aS,10bS,12aR)-6,10b-dihydroxy-2,4b,7,7,10a,12a-hexamethyl-12-methylidene-1,4,5,8-tetraoxo-4a,9,10,11-tetrahydronaphtho[1,2-h]isochromene-2-carboxylate"""	CCMSLIB00000079536
12189	MLS002702118-01!Deferroxamine	CCMSLIB00000079678
12207	MLS002702945-01!	CCMSLIB00000079696
12247	MLS000530211-01!	CCMSLIB00000079736
12387	MLS000863651-01!	CCMSLIB00000079878
12430	MLS000104989-01!	CCMSLIB00000079921
12437	"""MLS000877020-01!3',4,6-trimethoxy-5'-methylspiro[1-benzofuran-2,4'-cyclohex-2-ene]-1',3-dione"""	CCMSLIB00000079928
12465	MLS001074701-01!(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	CCMSLIB00000079956
12786	"""MLS000877011-01!1-(3-acetyl-2,4,6-trihydroxyphenyl)ethanone"""	CCMSLIB00000080277
12829	MLS001060855-01!	CCMSLIB00000080320
12863	MLS001066402-01!	CCMSLIB00000080354
12947	MLS000756558-01!	CCMSLIB00000080438
12960	"""MLS001049073-01!4-[(2R)-2-[(1R,3R,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione"""	CCMSLIB00000080451
13293	MLS001173429-01!	CCMSLIB00000084900
13326	MLS000069585-01!	CCMSLIB00000084933
13372	MLS001066352-01!Adenine 9-beta;-D-arabinofuranoside	CCMSLIB00000084979
13498	MLS002153199-01!Actinonin13434-13-4	CCMSLIB00000085105
13506	MLS001066370-01!518-82-1	CCMSLIB00000085113
13569	MLS001174881-01!	CCMSLIB00000085176
13599	MLS000738094-01!NARINGENIN480-41-1	CCMSLIB00000085206
13614	MLS001333756-01!	CCMSLIB00000085221
13615	MLS001333756-01!	CCMSLIB00000085222
13618	MLS002153992-01!Vidarabine5536-17-4	CCMSLIB00000085225
13714	MLS001183742-01!	CCMSLIB00000085321
13805	MLS000069638-01!ADENOSINE5536-17-4	CCMSLIB00000085412
13903	MLS002154230-01!Aztreonam78110-38-0	CCMSLIB00000085510
14089	MLS001066362-01!N-Acetyl-D-tryptophan	CCMSLIB00000085696
14097	MLS002153813-01!Fusaric acid536-69-6	CCMSLIB00000085704
14144	MLS001056783-01!Calcimycin A23187	CCMSLIB00000085751
14145	MLS001056783-01!Calcimycin A23187	CCMSLIB00000085752
14220	MLS001066392-01!Anisomycin from Streptomyces griseolus	CCMSLIB00000085827
14227	MLS001074711-01!Mupirocin	CCMSLIB00000085834
14397	MLS001304062-01!Griseofulvin126-07-8	CCMSLIB00000086004
14518	MLS001304022-01!	CCMSLIB00000086126
14853	N-ACETYL-D-TRYPTOPHAN	CCMSLIB00000577920
14962	ADENOSINE	CCMSLIB00000578029
15019	BIOTIN	CCMSLIB00000578087
15085	N-ACETYL-D-TRYPTOPHAN	CCMSLIB00000578154
15200	ADENOSINE	CCMSLIB00000578272
15289	BIOTIN	CCMSLIB00000578365
15311	Eicosanoids_EPA_C20H30O2	CCMSLIB00001058188
15609	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058618
15610	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058620
15613	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058624
15614	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058625
15817	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058852
15820	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058855
15823	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058858
15824	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058860
15955	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001059008
15956	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001059009
16051	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside	CCMSLIB00001058377
18344	Spectral Match to Naringenin-7-O-glucoside from NIST14	CCMSLIB00003136756
19573	Spectral Match to Naringenin from NIST14	CCMSLIB00003137985
20947	Spectral Match to L-Citrulline from NIST14	CCMSLIB00003139359
