	NCBI_ID	Database	BioSample	LCMS_file	Genome_label	Method	New_NCBI_ID	Downloaded
10	2515154177	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/27a.mzXML	Salinispora pacifica CNT029	genome	NaN	yes
11	2515154177	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/27b.mzXML	Salinispora pacifica CNT029	genome	NaN	yes
12	2516493032	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/19a.mzXML	Salinispora pacifica CNT138	genome	NaN	yes
13	2516493032	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/19c.mzXML	Salinispora pacifica CNT138	genome	NaN	yes
14	2517287023	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/25b.mzXML	Salinispora pacifica CNT148	genome	NaN	yes
15	2517287023	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/25c.mzXML	Salinispora pacifica CNT148	genome	NaN	yes
16	2517434008	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/23a.mzXML	Salinispora pacifica CNT150	genome	NaN	yes
17	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/7a.mzXML	Salinispora pacifica CNY202	genome	NaN	yes
18	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/7b.mzXML	Salinispora pacifica CNY202	genome	NaN	yes
19	VIKW01	GenBank_accession	SAMN12084250	ftp://massive.ucsd.edu/MSV000084950/peak/040220005.mzML	Anabaena sp. UHCC 0204	genome	GCA_009711975.1	yes
20	VILD01	GenBank_accession	SAMN12084370	ftp://massive.ucsd.edu/MSV000084950/peak/040220006.mzML	Anabaena sp. UHCC 0253	genome	GCA_009712085.1	yes
21	VILE01	GenBank_accession	SAMN12084395	ftp://massive.ucsd.edu/MSV000084950/peak/040220007.mzML	Dolichospermum planctonicum UHCC 0167	genome	GCA_009712075.1	yes
22	VILF01	GenBank_accession	SAMN12084379	ftp://massive.ucsd.edu/MSV000084950/peak/040220008.mzML	Dolichospermum flos-aquae UHCC 0037	genome	GCA_009712125.1	yes
23	VIKX01	GenBank_accession	SAMN12084251	ftp://massive.ucsd.edu/MSV000084950/peak/040220011.mzML	Dolichospermum sp. UHCC 0259	genome	GCA_009711935.1	yes
24	VIKZ01	GenBank_accession	SAMN12084254	ftp://massive.ucsd.edu/MSV000084950/peak/040220012.mzML	Dolichospermum sp. UHCC 0260	genome	GCA_009711985.1	yes
25	VIKV01	GenBank_accession	SAMN12084240	ftp://massive.ucsd.edu/MSV000084950/peak/040220013.mzML	Dolichospermum sp. UHCC 0299	genome	GCA_009711965.1	yes
26	VIKY01	GenBank_accession	SAMN12084252	ftp://massive.ucsd.edu/MSV000084950/peak/040220014.mzML	Dolichospermum sp. UHCC 0352	genome	GCA_009711925.1	yes
27	VILC01	GenBank_accession	SAMN12084337	ftp://massive.ucsd.edu/MSV000084950/peak/040220016.mzML	Aphanizomenon sp. UHCC 0183	genome	GCA_009712065.1	yes
28	VILB01	GenBank_accession	SAMN12084330	ftp://massive.ucsd.edu/MSV000084950/peak/040220021.mzML	Anabaena sp. UHCC 0187	genome	GCA_009712035.1	yes
29	2724679019	JGI_Genome_ID	SAMN04253747	ftp://massive.ucsd.edu/MSV000081504/raw/JG_QL109_DDA_03.mzXML	Streptomyces sp. MBT76	genome	NaN	yes
30	2740891881	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085214/peak/CNZ-279.mzXML	CNZ-279	genome	NaN	yes
31	2845467531	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085214/peak/CNZ-286.mzXML	CNZ-286	genome	NaN	yes
32	2791354866	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085214/peak/CNZ-288.mzXML	CNZ-288	genome	NaN	yes
33	2791354855	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085214/peak/CNZ-295.mzXML	CNZ-295	genome	NaN	yes
34	LOIC00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/P455_1787.mzXML	Photorhabdus luminescens subsp. namnaoensis PB45.5	genome	NaN	yes
35	LOMY00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/P681_1805.mzXML	Photorhabdus asymbiotica subsp. Australis PB68.1	genome	NaN	yes
36	NJCW00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/X121_1877.mzXML	Xenorhabdus sp. KJ12.1	genome	NaN	yes
37	MKGR00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/X30_1907.mzXML	Xenorhabdus thuongxuanensis	genome	NaN	yes
38	NKHR00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/X624_1847.mzXML	Xenorhabdus sp. PB62.4	genome	NaN	yes
39	NJAH00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/X74_1901.mzXML	Xenorhabdus sp. KK7.4	genome	NaN	yes
40	MKGQ00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/XDL_1823.mzXML	Xenorhabdus eapokensis	genome	NaN	yes
41	NKHQ00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/XTS_1769.mzXML	Xenorhabdus sp. TS4	genome	NaN	yes
42	MUBK00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xbe_1829.mzXML	Xenorhabdus bedingii DSM4764	genome	NaN	yes
43	NIBS00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xbu_1853.mzXML	Xenorhabdus budapestensis DSM 16342	genome	NaN	yes
44	NJGH00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xca_1799.mzXML	Xenorhabdus cabanillasii JSM26	genome	NaN	yes
45	NIBT00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xeh_1775.mzXML	Xenorhabdus ehlersii DSM16337	genome	NaN	yes
46	NJAI00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xho_1751.mzXML	Xenorhabdus hominickii DSM17903	genome	NaN	yes
47	NKHP00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xind_1841.mzXML	Xenorhabdus indica DSM 17382	genome	NaN	yes
48	NIBU00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xinn_1889.mzXML	Xenorhabdus innexii DSM 16336	genome	NaN	yes
49	NJCX00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xko_1757.mzXML	Xenorhabdus kozodoii DSM 17907	genome	NaN	yes
50	NITY00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xma_1811.mzXML	Xenorhabdus mauleonii DSM 17908	genome	NaN	yes
51	NITZ00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xmi_1817.mzXML	Xenorhabdus mirianensis DSM17902	genome	NaN	yes
52	NJAJ00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xst_1895.mzXML	Xenorhabdus stockiae DSM 17904	genome	NaN	yes
53	NIBV00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xsz_1745.mzXML	Xenorhabdus szentirmaii DSM 16338	genome	NaN	yes
54	MUBJ00000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000081063/peak/XenoPhoto_Screen/Xvie_1913.mzXML	Xenorhabdus vietnamensis DSM 22392	genome	NaN	yes
55	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-1.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
56	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-1_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
57	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-2.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
58	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-2_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
59	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-3.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
60	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-3_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
61	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-4.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
62	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-4_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
63	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-5.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
64	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-5_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
65	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-6.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
66	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-237-6_neg.mzXML	Salinispora mooreana CNS237	genome	NaN	yes
67	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-1.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
68	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-1_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
69	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-2.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
70	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-2_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
71	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-3.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
72	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-3_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
73	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-4.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
74	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-4_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
75	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-5.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
76	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-5_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
77	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-6.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
78	2515154136	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-150-6_neg.mzXML	Salinispora mooreana CNT150	genome	NaN	yes
79	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-1.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
80	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-1_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
81	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-2.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
82	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-2_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
83	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-3.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
84	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-3_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
85	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-4.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
86	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-4_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
87	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-5.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
88	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-5_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
89	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-6.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
90	2528311034	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/Y-202-6_neg.mzXML	Salinispora cortesiana CNY202	genome	NaN	yes
91	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-1.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
92	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-1_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
93	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-2.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
94	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-2_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
95	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-3.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
96	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-3_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
97	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-4.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
98	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-4_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
99	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-5.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
100	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-5_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
101	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-6.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
102	2515154124	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-569-6_neg.mzXML	Salinispora fenicalii CNT569	genome	NaN	yes
103	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-1.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
104	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-1_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
105	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-2.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
106	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-2_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
107	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-3.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
108	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-3_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
109	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-4.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
110	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-4_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
111	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-5.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
112	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-5_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
113	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-6.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
114	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/R-942-6_neg.mzXML	Salinispora fenicalii CNR942	genome	NaN	yes
115	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-1.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
116	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-1_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
117	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-2.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
118	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-2_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
119	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-3.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
120	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-3_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
121	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-4.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
122	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-4_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
123	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-5.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
124	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-5_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
125	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-6.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
126	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/S-055-6_neg.mzXML	Salinispora vitiensis CNS055	genome	NaN	yes
127	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-1.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
128	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-1_neg.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
129	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-2.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
130	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-2_neg.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
131	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-3.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
132	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-3_neg.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
133	2517572145	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000085159/raw/SIRENAS%20DATA%20POST_NEG/T-148-4.mzXML	Salinispora vitiensis CNT148	genome	NaN	yes
