	NCBI_ID	Database	BioSample	LCMS_file	Genome_label	Method	New_NCBI_ID	Downloaded
37	ERS4346418	ENA_NCBI_accession	ERS4346418	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84704_RB8_01_35445.mzXML	ERS4346418	metagenome	ERS4346418	yes
38	ERS4346419	ENA_NCBI_accession	ERS4346419	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84705_RA7_01_35663.mzXML	ERS4346419	metagenome	ERS4346419	yes
39	ERS4346420	ENA_NCBI_accession	ERS4346420	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84706_RD8_01_35702.mzXML	ERS4346420	metagenome	ERS4346420	yes
40	ERS4341366	ENA_NCBI_accession	ERS4341366	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84707_RF10_01_35500.mzXML	ERS4341366	metagenome	ERS4341366	yes
41	ERS4341367	ENA_NCBI_accession	ERS4341367	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84708_BC11_01_35570.mzXML	ERS4341367	metagenome	ERS4341367	yes
42	ERS4346421	ENA_NCBI_accession	ERS4346421	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84709_RA12_01_35437.mzXML	ERS4346421	metagenome	ERS4346421	yes
43	ERS4346422	ENA_NCBI_accession	ERS4346422	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84710_BF3_01_35604.mzXML	ERS4346422	metagenome	ERS4346422	yes
44	ERS4346423	ENA_NCBI_accession	ERS4346423	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84711_BE10_01_35599.mzXML	ERS4346423	metagenome	ERS4346423	yes
45	ERS4346424	ENA_NCBI_accession	ERS4346424	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84712_BE9_01_35598.mzXML	ERS4346424	metagenome	ERS4346424	yes
46	ERS4346425	ENA_NCBI_accession	ERS4346425	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84713_BH7_01_35642.mzXML	ERS4346425	metagenome	ERS4346425	yes
47	ERS4346426	ENA_NCBI_accession	ERS4346426	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84714_RH11_01_35528.mzXML	ERS4346426	metagenome	ERS4346426	yes
48	ERS4346427	ENA_NCBI_accession	ERS4346427	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84715_BB10_01_35557.mzXML	ERS4346427	metagenome	ERS4346427	yes
49	ERS4346428	ENA_NCBI_accession	ERS4346428	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84716_RE2_01_35711.mzXML	ERS4346428	metagenome	ERS4346428	yes
50	ERS4346429	ENA_NCBI_accession	ERS4346429	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84717_BC10_01_35569.mzXML	ERS4346429	metagenome	ERS4346429	yes
51	ERS4346430	ENA_NCBI_accession	ERS4346430	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84718_RE3_01_35480.mzXML	ERS4346430	metagenome	ERS4346430	yes
52	ERS4346432	ENA_NCBI_accession	ERS4346432	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84720_RC3_01_35453.mzXML	ERS4346432	metagenome	ERS4346432	yes
53	ERS4346433	ENA_NCBI_accession	ERS4346433	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84721_RC8_01_35690.mzXML	ERS4346433	metagenome	ERS4346433	yes
54	ERS4346434	ENA_NCBI_accession	ERS4346434	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84722_RH4_01_35521.mzXML	ERS4346434	metagenome	ERS4346434	yes
55	ERS4346435	ENA_NCBI_accession	ERS4346435	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84723_RB12_01_35449.mzXML	ERS4346435	metagenome	ERS4346435	yes
56	ERS4341368	ENA_NCBI_accession	ERS4341368	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84724_RD3_01_35122.mzXML	ERS4341368	metagenome	ERS4341368	yes
57	ERS4346436	ENA_NCBI_accession	ERS4346436	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84725_RF4_01_35494.mzXML	ERS4346436	metagenome	ERS4346436	yes
58	ERS4346437	ENA_NCBI_accession	ERS4346437	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84726_RC6_01_35456.mzXML	ERS4346437	metagenome	ERS4346437	yes
59	ERS4341369	ENA_NCBI_accession	ERS4341369	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84727_BC9_01_35229.mzXML	ERS4341369	metagenome	ERS4341369	yes
60	ERS4346438	ENA_NCBI_accession	ERS4346438	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84728_RB9_01_35446.mzXML	ERS4346438	metagenome	ERS4346438	yes
61	ERS4346439	ENA_NCBI_accession	ERS4346439	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84729_BA8_01_35541.mzXML	ERS4346439	metagenome	ERS4346439	yes
62	ERS4346440	ENA_NCBI_accession	ERS4346440	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84730_BG11_01_35631.mzXML	ERS4346440	metagenome	ERS4346440	yes
63	ERS4341370	ENA_NCBI_accession	ERS4341370	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84731_RE7_01_35484.mzXML	ERS4341370	metagenome	ERS4341370	yes
64	ERS4341371	ENA_NCBI_accession	ERS4341371	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84732_BF7_01_35275.mzXML	ERS4341371	metagenome	ERS4341371	yes
65	ERS4341372	ENA_NCBI_accession	ERS4341372	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84733_BG3_01_35792.mzXML	ERS4341372	metagenome	ERS4341372	yes
66	ERS4341373	ENA_NCBI_accession	ERS4341373	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84734_RF10_01_35160.mzXML	ERS4341373	metagenome	ERS4341373	yes
67	ERS4341374	ENA_NCBI_accession	ERS4341374	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84735_RH8_01_35755.mzXML	ERS4341374	metagenome	ERS4341374	yes
68	ERS4341375	ENA_NCBI_accession	ERS4341375	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84736_rerun_BF5_01_35836.mzXML	ERS4341375	metagenome	ERS4341375	yes
69	ERS4341376	ENA_NCBI_accession	ERS4341376	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84737_RB8_01_35100.mzXML	ERS4341376	metagenome	ERS4341376	yes
70	ERS4341377	ENA_NCBI_accession	ERS4341377	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84738_BF10_01_35278.mzXML	ERS4341377	metagenome	ERS4341377	yes
71	ERS4341378	ENA_NCBI_accession	ERS4341378	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84739_RC6_01_35688.mzXML	ERS4341378	metagenome	ERS4341378	yes
72	ERS4341379	ENA_NCBI_accession	ERS4341379	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84740_RH5_01_35752.mzXML	ERS4341379	metagenome	ERS4341379	yes
73	ERS4346441	ENA_NCBI_accession	ERS4346441	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84741_RG3_01_35398.mzXML	ERS4346441	metagenome	ERS4346441	yes
74	ERS4341380	ENA_NCBI_accession	ERS4341380	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84742_RD7_01_35127.mzXML	ERS4341380	metagenome	ERS4341380	yes
75	ERS4341381	ENA_NCBI_accession	ERS4341381	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84743_RD5_01_35124.mzXML	ERS4341381	metagenome	ERS4341381	yes
76	ERS4341382	ENA_NCBI_accession	ERS4341382	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84744_BG2_01_35282.mzXML	ERS4341382	metagenome	ERS4341382	yes
77	ERS4341383	ENA_NCBI_accession	ERS4341383	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84745_RG9_01_35405.mzXML	ERS4341383	metagenome	ERS4341383	yes
78	ERS4341384	ENA_NCBI_accession	ERS4341384	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84746_RF5_01_35154.mzXML	ERS4341384	metagenome	ERS4341384	yes
79	ERS4341385	ENA_NCBI_accession	ERS4341385	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84747_BF11_01_35279.mzXML	ERS4341385	metagenome	ERS4341385	yes
80	ERS4346442	ENA_NCBI_accession	ERS4346442	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84748_BD9_01_35242.mzXML	ERS4346442	metagenome	ERS4346442	yes
81	ERS4341386	ENA_NCBI_accession	ERS4341386	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84749_BD11_01_35244.mzXML	ERS4341386	metagenome	ERS4341386	yes
82	ERS4341387	ENA_NCBI_accession	ERS4341387	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84750_BA6_01_35199.mzXML	ERS4341387	metagenome	ERS4341387	yes
83	ERS4341388	ENA_NCBI_accession	ERS4341388	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84751_BB9_01_35216.mzXML	ERS4341388	metagenome	ERS4341388	yes
84	ERS4341389	ENA_NCBI_accession	ERS4341389	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84752_RB3_01_35094.mzXML	ERS4341389	metagenome	ERS4341389	yes
85	ERS4346443	ENA_NCBI_accession	ERS4346443	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84753_RH11_01_35420.mzXML	ERS4346443	metagenome	ERS4346443	yes
86	ERS4341390	ENA_NCBI_accession	ERS4341390	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84754_RH3_01_35411.mzXML	ERS4341390	metagenome	ERS4341390	yes
87	ERS4341391	ENA_NCBI_accession	ERS4341391	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84755_BB9_01_35556.mzXML	ERS4341391	metagenome	ERS4341391	yes
88	ERS4341392	ENA_NCBI_accession	ERS4341392	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84756_RC12_01_35694.mzXML	ERS4341392	metagenome	ERS4341392	yes
89	ERS4346444	ENA_NCBI_accession	ERS4346444	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84757_RG4_01_35739.mzXML	ERS4346444	metagenome	ERS4346444	yes
90	ERS4341393	ENA_NCBI_accession	ERS4341393	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84758_RF12_01_35733.mzXML	ERS4341393	metagenome	ERS4341393	yes
91	ERS4341394	ENA_NCBI_accession	ERS4341394	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84759_RA3_01_35659.mzXML	ERS4341394	metagenome	ERS4341394	yes
92	ERS4341395	ENA_NCBI_accession	ERS4341395	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84760_RH10_01_35757.mzXML	ERS4341395	metagenome	ERS4341395	yes
93	ERS4341396	ENA_NCBI_accession	ERS4341396	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84761_BD5_01_35780.mzXML	ERS4341396	metagenome	ERS4341396	yes
94	ERS4341397	ENA_NCBI_accession	ERS4341397	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84762_BE3_01_35783.mzXML	ERS4341397	metagenome	ERS4341397	yes
95	ERS4341398	ENA_NCBI_accession	ERS4341398	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84763_RB10_01_35680.mzXML	ERS4341398	metagenome	ERS4341398	yes
96	ERS4341399	ENA_NCBI_accession	ERS4341399	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84764_BD3_01_35778.mzXML	ERS4341399	metagenome	ERS4341399	yes
97	ERS4341401	ENA_NCBI_accession	ERS4341401	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84766_RA4_01_35660.mzXML	ERS4341401	metagenome	ERS4341401	yes
98	ERS4341402	ENA_NCBI_accession	ERS4341402	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84767_RA10_01_35666.mzXML	ERS4341402	metagenome	ERS4341402	yes
99	ERS4341403	ENA_NCBI_accession	ERS4341403	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84768_RG10_01_35745.mzXML	ERS4341403	metagenome	ERS4341403	yes
100	ERS4341404	ENA_NCBI_accession	ERS4341404	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84769_RB11_01_35681.mzXML	ERS4341404	metagenome	ERS4341404	yes
101	ERS4341405	ENA_NCBI_accession	ERS4341405	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84770_RF2_01_35723.mzXML	ERS4341405	metagenome	ERS4341405	yes
102	ERS4341406	ENA_NCBI_accession	ERS4341406	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84771_RH12_01_35759.mzXML	ERS4341406	metagenome	ERS4341406	yes
103	ERS4341407	ENA_NCBI_accession	ERS4341407	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84772_RC11_01_35693.mzXML	ERS4341407	metagenome	ERS4341407	yes
104	ERS4341408	ENA_NCBI_accession	ERS4341408	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84773_BE5_01_35785.mzXML	ERS4341408	metagenome	ERS4341408	yes
105	ERS4341409	ENA_NCBI_accession	ERS4341409	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84774_RH8_01_35417.mzXML	ERS4341409	metagenome	ERS4341409	yes
106	ERS4341410	ENA_NCBI_accession	ERS4341410	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84775_BD12_01_35245.mzXML	ERS4341410	metagenome	ERS4341410	yes
107	ERS4341411	ENA_NCBI_accession	ERS4341411	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84776_RE7_01_35375.mzXML	ERS4341411	metagenome	ERS4341411	yes
108	ERS4341412	ENA_NCBI_accession	ERS4341412	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84777_RC2_01_35684.mzXML	ERS4341412	metagenome	ERS4341412	yes
109	ERS4341413	ENA_NCBI_accession	ERS4341413	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84778_BH3_01_35296.mzXML	ERS4341413	metagenome	ERS4341413	yes
110	ERS4341414	ENA_NCBI_accession	ERS4341414	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84779_BC7_01_35227.mzXML	ERS4341414	metagenome	ERS4341414	yes
111	ERS4346445	ENA_NCBI_accession	ERS4346445	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84780_RB10_01_35102.mzXML	ERS4346445	metagenome	ERS4346445	yes
112	ERS4346446	ENA_NCBI_accession	ERS4346446	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84781_RH8_01_35186.mzXML	ERS4346446	metagenome	ERS4346446	yes
113	ERS4346448	ENA_NCBI_accession	ERS4346448	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84783_RH11_01_35189.mzXML	ERS4346448	metagenome	ERS4346448	yes
114	ERS4346449	ENA_NCBI_accession	ERS4346449	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84784_RC10_01_35116.mzXML	ERS4346449	metagenome	ERS4346449	yes
115	ERS4346450	ENA_NCBI_accession	ERS4346450	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84785_BA8_01_35202.mzXML	ERS4346450	metagenome	ERS4346450	yes
116	ERS4346451	ENA_NCBI_accession	ERS4346451	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84786_RF2_01_35151.mzXML	ERS4346451	metagenome	ERS4346451	yes
117	ERS4346452	ENA_NCBI_accession	ERS4346452	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84787_BA10_01_35204.mzXML	ERS4346452	metagenome	ERS4346452	yes
118	ERS4346453	ENA_NCBI_accession	ERS4346453	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84788_RB8_01_35335.mzXML	ERS4346453	metagenome	ERS4346453	yes
119	ERS4346455	ENA_NCBI_accession	ERS4346455	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84850_RC5_01_35455.mzXML	ERS4346455	metagenome	ERS4346455	yes
120	ERS4346456	ENA_NCBI_accession	ERS4346456	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84851_RE6_01_35483.mzXML	ERS4346456	metagenome	ERS4346456	yes
121	ERS4346457	ENA_NCBI_accession	ERS4346457	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84852_RB2_01_35439.mzXML	ERS4346457	metagenome	ERS4346457	yes
122	ERS4346458	ENA_NCBI_accession	ERS4346458	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84853_BG7_01_35620.mzXML	ERS4346458	metagenome	ERS4346458	yes
123	ERS4346459	ENA_NCBI_accession	ERS4346459	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84854_BC3_01_35774.mzXML	ERS4346459	metagenome	ERS4346459	yes
124	ERS4346460	ENA_NCBI_accession	ERS4346460	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84855_RH7_01_35524.mzXML	ERS4346460	metagenome	ERS4346460	yes
125	ERS4346461	ENA_NCBI_accession	ERS4346461	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84856_RA10_01_35435.mzXML	ERS4346461	metagenome	ERS4346461	yes
